image_id,surface_type,surface_feature,centroid_x,centroid_y,technical_width,technical_length,max_width,max_length,total_area,aspect_ratio,perimeter,distance_to_max_width,voronoi_num_cells,convex_hull_width,convex_hull_height,convex_hull_area,voronoi_cell_area,top_area,bottom_area,left_area,right_area,vertical_symmetry,horizontal_symmetry,lateral_convexity,has_arrow,arrow_angle
rub_al_khali.png,Dorsal,Dorsal,1146.84,1436.45,529,1335,325.81,1342.85,485481.0,2.52,3332.45,NA,13,284.4,1249.75,270220.26,80742.97,255087.0,231874.0,241342.0,245619.0,0.95,0.99,NA,False,NA
rub_al_khali.png,Platform,Platform,1145.86,662.87,472,138,116.59,486.17,39983.5,0.29,1091.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Lateral,scar 1,641.52,1396.53,NA,NA,152.44,1327.14,80660.5,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Lateral,scar 2,695.6,1485.14,NA,NA,43.26,1221.15,37751.0,23.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 3,1189.62,2148.76,NA,NA,35.4,69.64,2359.5,1.16,NA,NA,NA,NA,NA,NA,29316.07,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 4,1157.63,2106.27,NA,NA,26.31,64.78,1425.5,1.68,NA,NA,NA,NA,NA,NA,15781.03,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 5,1126.13,2074.93,NA,NA,32.67,72.34,2563.0,1.26,NA,NA,NA,NA,NA,NA,46613.35,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 6,1101.35,2028.71,NA,NA,25.4,73.98,1728.5,2.0,NA,NA,NA,NA,NA,NA,23454.41,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 7,1070.38,2009.19,NA,NA,25.76,61.91,1701.5,0.96,NA,NA,NA,NA,NA,NA,37824.84,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 8,1273.57,1531.55,NA,NA,129.15,1092.52,160172.0,4.93,NA,NA,NA,NA,NA,NA,5446.26,NA,NA,NA,NA,NA,NA,NA,True,5.0
rub_al_khali.png,Dorsal,scar 9,1126.96,1407.16,NA,NA,106.38,1131.14,123602.0,6.9,NA,NA,NA,NA,NA,NA,25969.14,NA,NA,NA,NA,NA,NA,NA,True,7.0
rub_al_khali.png,Dorsal,scar 10,1273.16,1013.18,NA,NA,104.07,214.56,17230.0,1.72,NA,NA,NA,NA,NA,NA,46670.79,NA,NA,NA,NA,NA,NA,NA,True,8.0
rub_al_khali.png,Dorsal,scar 11,1185.0,935.87,NA,NA,79.62,142.9,8795.0,0.9,NA,NA,NA,NA,NA,NA,93021.46,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 12,1000.58,1408.72,NA,NA,161.2,1125.26,131538.0,7.12,NA,NA,NA,NA,NA,NA,8057.12,NA,NA,NA,NA,NA,NA,NA,True,359.0
rub_al_khali.png,Dorsal,scar 13,1086.23,899.01,NA,NA,40.23,82.22,2632.5,2.16,NA,NA,NA,NA,NA,NA,5756.39,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Dorsal,scar 14,989.17,906.67,NA,NA,26.96,166.4,3803.0,1.76,NA,NA,NA,NA,NA,NA,66827.16,NA,NA,NA,NA,NA,NA,NA,False,NA
